paper_identification,topic,context,replication_type,replication_result,same_author,methodology
"@inproceedings{elliott2012toward,
  title={Toward a validated computing attitudes survey},
  author={Elliott Tew, Allison and Dorn, Brian and Schneider, Oliver},
  booktitle={Proceedings of the ninth annual international conference on International computing education research},
  pages={135--142},
  year={2012},
  organization={ACM}
}",Assessment,CS1,conceptual,success,no,quantitative
"@inproceedings{mccartney2013can,
  title={Can first--year students program yet?: a study revisited},
  author={McCartney, Robert and Boustedt, Jonas and Eckerdal, Anna and Sanders, Kate and Zander, Carol},
  booktitle={ICER'13 International Computing Education Research Conference, August 12-14, 2013, La Jolla, CA, USA},
  pages={91--98},
  year={2013},
  organization={Association for Computing Machinery (ACM)}
}",Aptitute,CS1,conceptual,mix,no,quantitative
"@inproceedings{lewis2013mining,
  title={Mining data from the AP CS a exam: patterns, non-patterns, and replication failure},
  author={Lewis, Colleen M and Khayrallah, Huda and Tsai, Amy},
  booktitle={Proceedings of the ninth annual international ACM conference on International computing education research},
  pages={115--122},
  year={2013},
  organization={ACM}
}",Aptitute,K-12,direct,failure,no,quantitative
"@inproceedings{patitsas2013comparing,
  title={Comparing and contrasting different algorithms leads to increased student learning},
  author={Patitsas, Elizabeth and Craig, Michelle and Easterbrook, Steve},
  booktitle={Proceedings of the ninth annual international ACM conference on International computing education research},
  pages={145--152},
  year={2013},
  organization={ACM}
}",Learning & Teaching Strategies,Undergraduate,conceptual,success,no,quantitative
"@inproceedings{morrison2014measuring,
  title={Measuring cognitive load in introductory CS: adaptation of an instrument},
  author={Morrison, Briana B and Dorn, Brian and Guzdial, Mark},
  booktitle={Proceedings of the tenth annual conference on International computing education research},
  pages={131--138},
  year={2014},
  organization={ACM}
}",Assessment,CS1,conceptual,success,no,quantitative
"@inproceedings{jadud2015aggregate,
  title={Aggregate compilation behavior: Findings and implications from 27,698 users},
  author={Jadud, Matthew C and Dorn, Brian},
  booktitle={Proceedings of the eleventh annual International Conference on International Computing Education Research},
  pages={131--139},
  year={2015},
  organization={ACM}
}","Tool, Learning Behavior",Undergraduate,conceptual,mix,yes,quantitative
"@inproceedings{carter2015normalized,
  title={The normalized programming state model: Predicting student performance in computing courses based on programming behavior},
  author={Carter, Adam S and Hundhausen, Christopher D and Adesope, Olusola},
  booktitle={Proceedings of the eleventh annual International Conference on International Computing Education Research},
  pages={141--150},
  year={2015},
  organization={ACM}
}","Learning Behavior, Performance Prediction",Undergraduate,conceptual,mix,no,quantitative
"@inproceedings{cooper2015spatial,
  title={Spatial skills training in introductory computing},
  author={Cooper, Stephen and Wang, Karen and Israni, Maya and Sorby, Sheryl},
  booktitle={Proceedings of the Eleventh Annual International Conference on International Computing Education Research},
  pages={13--20},
  year={2015},
  organization={ACM}
}",Learning & Teaching Strategies,K-12,conceptual,success,no,quantitative
"@inproceedings{morrison2015subgoals,
  title={Subgoals, context, and worked examples in learning computing problem solving},
  author={Morrison, Briana B and Margulieux, Lauren E and Guzdial, Mark},
  booktitle={Proceedings of the eleventh annual international conference on international computing education research},
  pages={21--29},
  year={2015},
  organization={ACM}
}",Learning & Teaching Strategies,Undergraduate,conceptual,mix,no,quantitative
"@inproceedings{hewner2016everyone,
  title={When Everyone Knows CS is the Best Major: Decisions about CS in an Indian context},
  author={Hewner, Michael and Mishra, Shitanshu},
  booktitle={Proceedings of the 2016 ACM Conference on International Computing Education Research},
  pages={3--11},
  year={2016},
  organization={ACM}
}",Experience,Undergraduate,direct,mix,yes,qualitative
"@inproceedings{parker2016replication,
  title={Replication, validation, and use of a language independent CS1 knowledge assessment},
  author={Parker, Miranda C and Guzdial, Mark and Engleman, Shelly},
  booktitle={Proceedings of the 2016 ACM conference on international computing education research},
  pages={93--101},
  year={2016},
  organization={ACM}
}",Assessment,CS1,direct,success,yes,mixed
"@inproceedings{morrison2016learning,
  title={Learning loops: A replication study illuminates impact of HS courses},
  author={Morrison, Briana B and Decker, Adrienne and Margulieux, Lauren E},
  booktitle={Proceedings of the 2016 ACM Conference on International Computing Education Research},
  pages={221--230},
  year={2016},
  organization={ACM}
}",Learning & Teaching Strategies,CS1,direct,success,yes,quantitative
